Date,Time,CO_sp,CO_flow,H2_sp,H2_flow,He_low_sp,He_low_flow,NO_sp,NO_flow,Propene_sp,Propene_flow,O2_sp,O2_flow,Target_Oven_sp,Oven_ramp,Oven_temp,Oven_temp_internal,Oven_percent,Oven_actual_sp,DateTime
29-Apr-2025,09:58:30,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0,-0.003,0.0,0.154,15.0,10.0,23.2,0.0,0.0,15.0,2025-04-29 09:58:30
29-Apr-2025,09:58:35,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0,-0.011,0.0,0.173,400.0,10.0,23.2,0.0,0.0,15.3,2025-04-29 09:58:35
29-Apr-2025,09:58:40,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,-0.013,0.0,0.171,400.0,10.0,23.2,0.0,0.0,16.2,2025-04-29 09:58:40
29-Apr-2025,09:58:45,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,-0.017,0.0,0.182,400.0,10.0,23.2,0.0,0.0,17.0,2025-04-29 09:58:45
29-Apr-2025,09:58:50,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,-0.014,0.0,0.175,400.0,10.0,23.2,0.0,0.0,17.8,2025-04-29 09:58:50
29-Apr-2025,09:58:55,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,-0.021,0.0,0.151,400.0,10.0,23.2,0.0,0.0,18.6,2025-04-29 09:58:55
29-Apr-2025,09:59:00,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,-0.016,0.0,0.183,400.0,10.0,23.2,0.0,0.0,19.5,2025-04-29 09:59:00
29-Apr-2025,09:59:05,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,-0.014,0.0,0.177,400.0,10.0,23.2,0.0,0.0,20.3,2025-04-29 09:59:05
29-Apr-2025,09:59:10,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,-0.012,0.0,0.145,400.0,10.0,23.2,0.0,0.0,21.2,2025-04-29 09:59:10
29-Apr-2025,09:59:15,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,-0.012,0.0,0.176,400.0,10.0,23.2,0.0,0.0,22.0,2025-04-29 09:59:15
29-Apr-2025,09:59:20,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0,-0.02,0.0,0.166,400.0,10.0,23.2,0.0,0.0,22.8,2025-04-29 09:59:20
29-Apr-2025,09:59:25,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,-0.019,0.0,0.175,400.0,10.0,23.2,0.0,0.0,23.7,2025-04-29 09:59:25
29-Apr-2025,09:59:30,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,-0.014,0.0,0.181,400.0,10.0,23.2,0.0,1.2,24.5,2025-04-29 09:59:30
29-Apr-2025,09:59:35,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,-0.016,0.0,0.179,400.0,10.0,23.2,0.0,2.8,25.3,2025-04-29 09:59:35
29-Apr-2025,09:59:40,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,-0.015,0.0,0.166,400.0,10.0,23.2,0.0,4.7,26.2,2025-04-29 09:59:40
29-Apr-2025,09:59:45,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,-0.011,0.0,0.17,400.0,10.0,23.2,0.0,6.7,27.0,2025-04-29 09:59:45
29-Apr-2025,09:59:50,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,-0.012,0.0,0.157,400.0,10.0,23.3,0.0,9.0,27.8,2025-04-29 09:59:50
29-Apr-2025,09:59:55,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,-0.013,0.0,0.173,400.0,10.0,23.4,0.0,11.1,28.7,2025-04-29 09:59:55
29-Apr-2025,10:00:00,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,-0.013,0.0,0.162,400.0,10.0,23.6,0.0,13.3,29.5,2025-04-29 10:00:00
29-Apr-2025,10:00:05,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,-0.008,0.0,0.174,400.0,10.0,23.9,0.0,15.4,30.3,2025-04-29 10:00:05
29-Apr-2025,10:00:10,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,-0.014,0.0,0.174,400.0,10.0,24.4,0.0,17.2,31.2,2025-04-29 10:00:10
29-Apr-2025,10:00:15,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0,-0.01,0.0,0.178,400.0,10.0,25.0,0.0,18.9,32.0,2025-04-29 10:00:15
29-Apr-2025,10:00:20,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,-0.011,0.0,0.173,400.0,10.0,25.8,0.0,20.2,32.8,2025-04-29 10:00:20
29-Apr-2025,10:00:25,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,-0.008,0.0,0.171,400.0,10.0,26.8,0.0,21.2,33.7,2025-04-29 10:00:25
29-Apr-2025,10:00:30,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,-0.019,0.0,0.17,400.0,10.0,28.0,0.0,21.9,34.5,2025-04-29 10:00:30
29-Apr-2025,10:00:35,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,-0.016,0.0,0.166,400.0,10.0,29.3,0.0,22.3,35.3,2025-04-29 10:00:35
29-Apr-2025,10:00:40,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0,-0.013,0.0,0.178,400.0,10.0,30.7,0.0,22.6,36.2,2025-04-29 10:00:40
29-Apr-2025,10:00:45,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,-0.012,0.0,0.17,400.0,10.0,32.1,0.0,22.5,37.0,2025-04-29 10:00:45
29-Apr-2025,10:00:50,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,-0.013,0.0,0.178,400.0,10.0,33.6,0.0,22.4,37.8,2025-04-29 10:00:50
29-Apr-2025,10:00:55,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,-0.009,0.0,0.173,400.0,10.0,35.0,0.0,22.1,38.7,2025-04-29 10:00:55
29-Apr-2025,10:01:00,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,-0.013,0.0,0.171,400.0,10.0,36.4,0.0,21.9,39.5,2025-04-29 10:01:00
29-Apr-2025,10:01:05,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0,-0.022,0.0,0.173,400.0,10.0,37.8,0.0,21.5,40.3,2025-04-29 10:01:05
29-Apr-2025,10:01:10,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,-0.007,0.0,0.173,400.0,10.0,39.1,0.0,21.3,41.2,2025-04-29 10:01:10
29-Apr-2025,10:01:15,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,-0.01,0.0,0.17,400.0,10.0,40.2,0.0,21.1,42.0,2025-04-29 10:01:15
29-Apr-2025,10:01:20,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,-0.008,0.0,0.164,400.0,10.0,41.4,0.0,20.9,42.8,2025-04-29 10:01:20
29-Apr-2025,10:01:25,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,-0.008,0.0,0.166,400.0,10.0,42.4,0.0,20.9,43.7,2025-04-29 10:01:25
29-Apr-2025,10:01:30,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0,-0.021,0.0,0.161,400.0,10.0,43.3,0.0,20.9,44.5,2025-04-29 10:01:30
29-Apr-2025,10:01:35,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,-0.01,0.0,0.175,400.0,10.0,44.2,0.0,20.9,45.3,2025-04-29 10:01:35
29-Apr-2025,10:01:40,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,-0.011,0.0,0.155,400.0,10.0,45.1,0.0,21.0,46.1,2025-04-29 10:01:40
29-Apr-2025,10:01:45,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,-0.014,0.0,0.186,400.0,10.0,45.9,0.0,21.1,47.0,2025-04-29 10:01:45
29-Apr-2025,10:01:50,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,-0.018,0.0,0.176,400.0,10.0,46.7,0.0,21.2,47.8,2025-04-29 10:01:50
29-Apr-2025,10:01:55,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,-0.014,0.0,0.179,400.0,10.0,47.5,0.0,21.4,48.7,2025-04-29 10:01:55
29-Apr-2025,10:02:00,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,-0.011,0.0,0.169,400.0,10.0,48.2,0.0,21.7,49.5,2025-04-29 10:02:00
29-Apr-2025,10:02:05,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,-0.008,0.0,0.175,400.0,10.0,49.0,0.0,21.9,50.3,2025-04-29 10:02:05
29-Apr-2025,10:02:10,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,-0.012,0.0,0.164,400.0,10.0,49.7,0.0,22.2,51.2,2025-04-29 10:02:10
29-Apr-2025,10:02:15,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,-0.013,0.0,0.169,400.0,10.0,50.5,0.0,22.5,52.0,2025-04-29 10:02:15
29-Apr-2025,10:02:20,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,-0.008,0.0,0.172,400.0,10.0,51.3,0.0,22.7,52.8,2025-04-29 10:02:20
29-Apr-2025,10:02:25,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,-0.02,0.0,0.18,400.0,10.0,52.1,0.0,23.0,53.7,2025-04-29 10:02:25
29-Apr-2025,10:02:30,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,-0.007,0.0,0.162,400.0,10.0,52.9,0.0,23.2,54.5,2025-04-29 10:02:30
29-Apr-2025,10:02:35,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,-0.004,0.0,0.18,400.0,10.0,53.6,0.0,23.4,55.3,2025-04-29 10:02:35
29-Apr-2025,10:02:40,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,-0.005,0.0,0.166,400.0,10.0,54.5,0.0,23.6,56.2,2025-04-29 10:02:40
29-Apr-2025,10:02:45,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,-0.011,0.0,0.166,400.0,10.0,55.3,0.0,23.9,57.0,2025-04-29 10:02:45
29-Apr-2025,10:02:50,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,-0.009,0.0,0.173,400.0,10.0,56.1,0.0,24.1,57.8,2025-04-29 10:02:50
29-Apr-2025,10:02:55,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,-0.005,0.0,0.179,400.0,10.0,57.0,0.0,24.3,58.7,2025-04-29 10:02:55
29-Apr-2025,10:03:00,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,-0.007,0.0,0.162,400.0,10.0,57.8,0.0,24.4,59.5,2025-04-29 10:03:00
29-Apr-2025,10:03:05,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,-0.009,0.0,0.166,400.0,10.0,58.7,0.0,24.6,60.3,2025-04-29 10:03:05
29-Apr-2025,10:03:10,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,-0.006,0.0,0.148,400.0,10.0,59.5,0.0,24.8,61.2,2025-04-29 10:03:10
29-Apr-2025,10:03:15,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,-0.012,0.0,0.182,400.0,10.0,60.4,0.0,25.0,62.0,2025-04-29 10:03:15
29-Apr-2025,10:03:20,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,-0.01,0.0,0.173,400.0,10.0,61.2,0.0,25.1,62.8,2025-04-29 10:03:20
29-Apr-2025,10:03:25,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,-0.011,0.0,0.182,400.0,10.0,62.1,0.0,25.3,63.7,2025-04-29 10:03:25
29-Apr-2025,10:03:30,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,-0.004,0.0,0.172,400.0,10.0,62.9,0.0,25.5,64.5,2025-04-29 10:03:30
29-Apr-2025,10:03:35,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,-0.01,0.0,0.159,400.0,10.0,63.8,0.0,25.6,65.3,2025-04-29 10:03:35
29-Apr-2025,10:03:40,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,-0.014,0.0,0.187,400.0,10.0,64.6,0.0,25.8,66.2,2025-04-29 10:03:40
29-Apr-2025,10:03:45,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,-0.006,0.0,0.175,400.0,10.0,65.4,0.0,26.0,67.0,2025-04-29 10:03:45
29-Apr-2025,10:03:50,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,-0.009,0.0,0.159,400.0,10.0,66.3,0.0,26.2,67.8,2025-04-29 10:03:50
29-Apr-2025,10:03:55,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,-0.006,0.0,0.185,400.0,10.0,67.1,0.0,26.3,68.7,2025-04-29 10:03:55
29-Apr-2025,10:04:00,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,-0.01,0.0,0.162,400.0,10.0,67.9,0.0,26.5,69.5,2025-04-29 10:04:00
29-Apr-2025,10:04:05,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,-0.005,0.0,0.158,400.0,10.0,68.8,0.0,26.7,70.3,2025-04-29 10:04:05
29-Apr-2025,10:04:10,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,-0.009,0.0,0.177,400.0,10.0,69.6,0.0,26.8,71.2,2025-04-29 10:04:10
29-Apr-2025,10:04:15,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,-0.015,0.0,0.165,400.0,10.0,70.4,0.0,27.0,72.0,2025-04-29 10:04:15
29-Apr-2025,10:04:20,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,-0.013,0.0,0.165,400.0,10.0,71.3,0.0,27.1,72.8,2025-04-29 10:04:20
29-Apr-2025,10:04:25,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,-0.008,0.0,0.177,400.0,10.0,72.1,0.0,27.4,73.6,2025-04-29 10:04:25
29-Apr-2025,10:04:30,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,-0.012,0.0,0.174,400.0,10.0,73.0,0.0,27.5,74.5,2025-04-29 10:04:30
29-Apr-2025,10:04:35,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,-0.008,0.0,0.17,400.0,10.0,73.8,0.0,27.6,75.3,2025-04-29 10:04:35
29-Apr-2025,10:04:40,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,-0.016,0.0,0.177,400.0,10.0,74.6,0.0,27.8,76.2,2025-04-29 10:04:40
29-Apr-2025,10:04:45,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,-0.006,0.0,0.168,400.0,10.0,75.5,0.0,27.9,77.0,2025-04-29 10:04:45
29-Apr-2025,10:04:50,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,-0.005,0.0,0.168,400.0,10.0,76.3,0.0,28.1,77.8,2025-04-29 10:04:50
29-Apr-2025,10:04:55,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,-0.014,0.0,0.17,400.0,10.0,77.1,0.0,28.3,78.7,2025-04-29 10:04:55
29-Apr-2025,10:05:00,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,-0.008,0.0,0.175,400.0,10.0,78.0,0.0,28.4,79.5,2025-04-29 10:05:00
29-Apr-2025,10:05:05,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,-0.02,0.0,0.172,400.0,10.0,78.8,0.0,28.6,80.3,2025-04-29 10:05:05
29-Apr-2025,10:05:10,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,-0.012,0.0,0.168,400.0,10.0,79.6,0.0,28.7,81.2,2025-04-29 10:05:10
29-Apr-2025,10:05:15,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,-0.003,0.0,0.168,400.0,10.0,80.5,0.0,28.9,82.0,2025-04-29 10:05:15
29-Apr-2025,10:05:20,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,-0.006,0.0,0.184,400.0,10.0,81.3,0.0,29.1,82.8,2025-04-29 10:05:20
